pretrain_step,rl_step,n_rollouts,resp_len_mean,resp_len_median,resp_len_p95,resp_len_max,trunc_rate
40000,1750,1024,325.3,202,782,3587,0.0078
40000,1800,1024,361.1,212,995,3587,0.0098
40000,1850,1024,352.7,234,765,3588,0.0088
40000,1900,1024,280.6,193,659,3585,0.0049
40000,1950,1024,357.2,199,892,3591,0.0127
40000,2000,1024,312.6,182,825,3588,0.0068
40000,2050,1024,356.2,213,944,3642,0.0088
40000,2100,1024,379.2,205,962,3609,0.0186
40000,2150,1024,425.0,211,1220,3704,0.0244
40000,2200,1024,329.5,190,744,3740,0.0156
40000,2250,1024,332.1,192,852,3658,0.0156
40000,2300,1024,479.0,257,1826,3587,0.0332
40000,2350,1024,429.8,217,1474,3663,0.0244
40000,2400,1024,413.6,233,1153,3606,0.0205
40000,2450,1024,458.3,219,1721,3775,0.0283
40000,2500,1024,525.2,251,3358,3625,0.04
40000,2550,1024,462.6,217,1686,3592,0.0371
40000,2600,1024,456.9,212,2823,3702,0.0332
40000,2650,1024,467.2,190,3189,3595,0.0381
40000,2700,1024,512.1,204,3583,3734,0.0498
40000,2750,1024,508.5,212,3580,3588,0.0469
40000,2800,1024,543.2,238,3583,3610,0.0449
40000,2850,1024,606.1,252,3584,3592,0.0703
40000,2900,1024,494.2,207,3106,3646,0.041
40000,2950,1024,511.1,199,3584,3679,0.0527
40000,3000,1024,623.5,214,3584,3599,0.0771
45000,50,1024,495.3,443,913,3392,0.0
45000,100,1024,469.2,433,873,3579,0.0
45000,150,1024,454.3,412,817,3589,0.001
45000,200,1024,438.0,393,802,2437,0.0
45000,250,1024,433.6,406,861,3668,0.002
45000,300,1024,375.5,312,789,1882,0.0
45000,350,1024,368.5,304,754,2487,0.0
45000,400,1024,384.2,319,811,3668,0.002
45000,450,1024,370.5,304,791,1974,0.0
45000,500,1024,339.1,263,743,3586,0.001
45000,550,1024,324.4,254,735,3584,0.001
45000,600,1024,367.1,298,834,2098,0.0
45000,650,1024,340.9,237,783,3584,0.0039
45000,700,1024,378.1,298,884,2014,0.0
45000,750,1024,348.5,276,809,3584,0.001
45000,800,1024,311.7,237,751,3580,0.0
45000,850,1024,314.0,241,721,3584,0.001
45000,900,1024,327.2,256,735,3584,0.001
45000,950,1024,344.6,249,810,3584,0.0039
